Metric,Group,k,N,Mean,Grand_Mean,Deviation,SSA,MSA,SSE,MSE_group,MSE_pooled,F_stat,Effect_Size,Std,SE,95%_CI_Lower,95%_CI_Upper
difficulty_0,Male,4,5,3.4,2.911764705882353,0.4882352941176471,1.1918685121107269,1.1918685121107269,1.2,0.3,0.7325438596491228,1.6270268276927657,0.5704431308540344,0.5477225575051661,0.24494897427831777,2.719912619341743,4.080087380658257
difficulty_0,Female,4,6,2.5,2.911764705882353,-0.4117647058823528,1.0173010380622831,1.0173010380622831,3.5,0.7,0.7325438596491228,1.3887237257705696,-0.48109661638292045,0.8366600265340756,0.34156502553198664,1.6219791496788214,3.3780208503211786
difficulty_0,Male,4,19,2.8421052631578947,2.911764705882353,-0.06965944272445812,0.09219632125295917,0.09219632125295917,14.526315789473685,0.8070175438596492,0.7325438596491228,0.12585774904607047,-0.0813885253279376,0.8983415518941831,0.20609368639422335,2.409118495057762,3.275092031258027
difficulty_0,Female,4,4,3.25,2.911764705882353,0.3382352941176472,0.4576124567474052,0.4576124567474052,2.75,0.9166666666666666,0.7325438596491228,0.6246894990923745,0.39518650631454205,0.9574271077563381,0.47871355387816905,1.726519819170922,4.773480180829078
difficulty_1,Male,4,5,2.8,2.411764705882353,0.388235294117647,0.7536332179930794,0.7536332179930794,2.8,0.7,0.9180409356725145,0.8209146114394151,0.4051949188821141,0.8366600265340756,0.3741657386773941,1.7611493663164302,3.8388506336835695
difficulty_1,Female,4,6,2.1666666666666665,2.411764705882353,-0.2450980392156863,0.36043829296424457,0.36043829296424457,2.833333333333333,0.5666666666666667,0.9180409356725145,0.3926167984003938,-0.25580487303163774,0.752772652709081,0.3073181485764296,1.3766802161747145,2.9566531171586186
difficulty_1,Male,4,19,2.210526315789474,2.411764705882353,-0.20123839009287892,0.7694409032963004,0.7694409032963004,19.157894736842103,1.0643274853801168,0.9180409356725145,0.8381335443747325,-0.2100292641733443,1.0316624861746775,0.23667960637249189,1.7132809142859509,2.7077717172929967
difficulty_1,Female,4,4,3.25,2.411764705882353,0.8382352941176472,2.810553633217994,2.810553633217994,2.75,0.9166666666666666,0.9180409356725145,3.0614687472069115,0.8748526657682012,0.9574271077563381,0.47871355387816905,1.726519819170922,4.773480180829078
difficulty_2,Male,4,5,2.6,2.5,0.10000000000000009,0.050000000000000086,0.050000000000000086,1.2,0.3,0.7484795321637425,0.06680209391358713,0.11558727777189594,0.5477225575051661,0.24494897427831777,1.9199126193417433,3.280087380658257
difficulty_2,Female,4,6,3.1666666666666665,2.5,0.6666666666666665,2.6666666666666656,2.6666666666666656,2.833333333333333,0.5666666666666667,0.7484795321637425,3.562778342057973,0.7705818518126387,0.752772652709081,0.3073181485764296,2.3766802161747145,3.9566531171586186
difficulty_2,Male,4,19,2.3684210526315788,2.5,-0.13157894736842124,0.3289473684210536,0.3289473684210536,16.421052631578945,0.9122807017543858,0.7484795321637425,0.4394874599578106,-0.15208852338407367,0.9551338658818385,0.21912273678590866,1.9080612654001445,2.828780839863013
difficulty_2,Female,4,4,2.0,2.5,-0.5,1.0,1.0,2.0,0.6666666666666666,0.7484795321637425,1.3360418782717403,-0.5779363888594792,0.816496580927726,0.408248290463863,0.7007717363746626,3.2992282636253374
difficulty_3,Male,4,5,2.6,2.3529411764705883,0.24705882352941178,0.30519031141868513,0.30519031141868513,5.200000000000001,1.3000000000000003,1.173918128654971,0.2599758057815839,0.2280244749063503,1.140175425099138,0.5099019513592785,1.1842852230177252,4.015714776982275
difficulty_3,Female,4,6,2.3333333333333335,2.3529411764705883,-0.019607843137254832,0.0023068050749711485,0.0023068050749711485,3.333333333333333,0.6666666666666666,1.173918128654971,0.0019650476627481634,-0.018097180548122975,0.816496580927726,0.33333333333333337,1.476472721454562,3.190193945212105
difficulty_3,Male,4,19,2.263157894736842,2.3529411764705883,-0.08978328173374628,0.15315971589874391,0.15315971589874391,25.684210526315788,1.4269005847953216,1.173918128654971,0.1304688224503597,-0.08286603724666879,1.1945294407402949,0.27404384827742645,1.6874131338983471,2.838902655575337
difficulty_3,Female,4,4,2.5,2.3529411764705883,0.1470588235294117,0.0865051903114186,0.0865051903114186,1.0,0.3333333333333333,1.173918128654971,0.07368928735305658,0.13572885411092273,0.5773502691896257,0.28867513459481287,1.5813068844813005,3.4186931155186997
difficulty_4,Male,4,5,2.6,2.5,0.10000000000000009,0.050000000000000086,0.050000000000000086,3.2,0.8,1.005497076023392,0.04972664883098764,0.099726274201925,0.8944271909999159,0.39999999999999997,1.4894219579208807,3.7105780420791197
difficulty_4,Female,4,6,2.6666666666666665,2.5,0.16666666666666652,0.16666666666666635,0.16666666666666635,3.333333333333333,0.6666666666666666,1.005497076023392,0.16575549610329152,0.16621045700320802,0.816496580927726,0.33333333333333337,1.8098060547878951,3.523527278545438
difficulty_4,Male,4,19,2.4210526315789473,2.5,-0.07894736842105265,0.11842105263157902,0.11842105263157902,22.63157894736842,1.2573099415204678,1.005497076023392,0.11777364196812848,-0.07873126910678284,1.1212983285105118,0.2572434789230733,1.8806041370012019,2.961501126156693
difficulty_4,Female,4,4,2.5,2.5,0.0,0.0,0.0,1.0,0.3333333333333333,1.005497076023392,0.0,0.0,0.5773502691896257,0.28867513459481287,1.5813068844813005,3.4186931155186997
