Column,Group,Subgroup,N,Mean,SAMPLE,POPULATION,STD,MSE,SS,TUKEY,SST,SSE,SSA,ALT_SSA,ALT_FTEST
difficulty_5,Male,Group_1,24,2.2916666666666665,0.9981884057971014,0.9565972222222222,0.999093792292346,0.9565972222222222,22.958333333333332,0.041591183574879224,23.048442906574394,22.958333333333332,0.09010957324106181,0.09010957324106181,0.00034129720788850053
difficulty_5,Female,Group_2,10,2.5,0.7222222222222222,0.65,0.8498365855987975,0.65,6.5,0.07222222222222222,6.716262975778547,6.5,0.21626297577854647,0.21626297577854647,0.007393606009522957
difficulty_5,Overall,all,34,2.3529411764705883,0.9019607843137256,0.8754325259515572,0.9497161598676341,0.8754325259515572,29.764705882352946,0.026528258362168402,29.764705882352946,29.764705882352946,0.0,0.0,0.0
difficulty_6,Male,Group_1,24,2.375,1.1141304347826086,1.0677083333333333,1.0555237727226274,1.0677083333333333,25.625,0.04642210144927536,25.636678200692046,25.625,0.01167820069204144,0.01167820069204144,3.962910096981188e-05
difficulty_6,Female,Group_2,10,2.3,0.6777777777777777,0.61,0.8232726023485646,0.61,6.1,0.06777777777777777,6.1280276816609005,6.1,0.028027681660899927,0.028027681660899927,0.001021044869249542
difficulty_6,Overall,all,34,2.3529411764705883,0.9625668449197862,0.9342560553633218,0.9811049102515929,0.9342560553633218,31.764705882352942,0.028310789556464298,31.764705882352942,31.764705882352942,0.0,0.0,0.0
difficulty_7,Male,Group_1,24,2.4166666666666665,1.0362318840579712,0.9930555555555557,1.0179547554081032,0.9930555555555557,23.833333333333336,0.04317632850241546,24.0,23.833333333333336,0.16666666666666727,0.16666666666666727,0.0006080875646093058
difficulty_7,Female,Group_2,10,2.7,1.3444444444444443,1.21,1.1595018087284057,1.21,12.1,0.13444444444444442,12.5,12.1,0.4000000000000007,0.4000000000000007,0.0073461891643709955
difficulty_7,Overall,all,34,2.5,1.106060606060606,1.0735294117647058,1.0516941599441378,1.0735294117647058,36.5,0.03253119429590018,36.5,36.5,0.0,0.0,0.0
difficulty_8,Male,Group_1,24,2.4166666666666665,1.2971014492753623,1.2430555555555556,1.1389036172018079,1.2430555555555556,29.833333333333332,0.05404589371980676,29.903114186851212,29.833333333333332,0.0697808535178784,0.0697808535178784,0.00020339330634309955
difficulty_8,Female,Group_2,10,2.6,0.7111111111111111,0.64,0.8432740427115678,0.64,6.4,0.07111111111111111,6.567474048442906,6.4,0.16747404844290653,0.16747404844290653,0.00581507112648981
difficulty_8,Overall,all,34,2.4705882352941178,1.1051693404634582,1.0726643598615917,1.0512703460401887,1.0726643598615917,36.470588235294116,0.032504980601866414,36.470588235294116,36.470588235294116,0.0,0.0,0.0
difficulty_9,Male,Group_1,24,2.0833333333333335,0.8623188405797101,0.8263888888888888,0.928611242975073,0.8263888888888888,19.833333333333332,0.035929951690821256,20.19377162629758,19.833333333333332,0.36043829296424457,0.36043829296424457,0.0015802921138366587
difficulty_9,Female,Group_2,10,2.5,0.9444444444444444,0.85,0.97182531580755,0.85,8.5,0.09444444444444444,9.365051903114185,8.5,0.8650519031141859,0.8650519031141859,0.022615736029129044
difficulty_9,Overall,all,34,2.2058823529411766,0.89572192513369,0.8693771626297578,0.9464258687999235,0.8693771626297578,29.558823529411768,0.026344762503932057,29.558823529411768,29.558823529411768,0.0,0.0,0.0
ALL,Male,Group_1,24,2.2916666666666665,0.9981884057971014,0.9565972222222222,0.999093792292346,0.9565972222222222,22.958333333333332,0.041591183574879224,23.13093425605536,22.958333333333332,0.17260092272203056,0.17260092272203056,0.0003631887692407071
ALL,Male,Group_1,24,2.375,1.1141304347826086,1.0677083333333333,1.0555237727226274,1.0677083333333333,25.625,0.04642210144927536,25.625051903114187,25.625,5.190311418685084e-05,5.190311418685084e-05,9.784963202422687e-08
ALL,Male,Group_1,24,2.4166666666666665,1.0362318840579712,0.9930555555555557,1.0179547554081032,0.9930555555555557,23.833333333333336,0.04317632850241546,23.872110726643598,23.833333333333336,0.03877739331026501,0.03877739331026501,7.860016886645383e-05
ALL,Male,Group_1,24,2.4166666666666665,1.2971014492753623,1.2430555555555556,1.1389036172018079,1.2430555555555556,29.833333333333332,0.05404589371980676,29.872110726643598,29.833333333333332,0.03877739331026501,0.03877739331026501,6.27923136754352e-05
ALL,Male,Group_1,24,2.0833333333333335,0.8623188405797101,0.8263888888888888,0.928611242975073,0.8263888888888888,19.833333333333332,0.035929951690821256,21.895640138408304,19.833333333333332,2.062306805074969,2.062306805074969,0.005023278054012834
ALL,Female,Group_2,10,2.5,0.7222222222222222,0.65,0.8498365855987975,0.65,6.5,0.07222222222222222,6.652595155709343,6.5,0.15259515570934257,0.15259515570934257,0.002898293555733002
ALL,Female,Group_2,10,2.3,0.6777777777777777,0.61,0.8232726023485646,0.61,6.1,0.06777777777777777,6.1584775086505195,6.1,0.0584775086505193,0.0584775086505193,0.0011835156577720968
ALL,Female,Group_2,10,2.7,1.3444444444444443,1.21,1.1595018087284057,1.21,12.1,0.13444444444444442,13.146712802768164,12.1,1.0467128027681674,1.0467128027681674,0.010679653124866517
ALL,Female,Group_2,10,2.6,0.7111111111111111,0.64,0.8432740427115678,0.64,6.4,0.07111111111111111,6.899653979238755,6.4,0.49965397923875476,0.49965397923875476,0.00963838694519203
ALL,Female,Group_2,10,2.5,0.9444444444444444,0.85,0.97182531580755,0.85,8.5,0.09444444444444444,8.652595155709342,8.5,0.15259515570934257,0.15259515570934257,0.0022163421308546488
ALL,Overall,all,170,2.376470588235294,0.9816916115558649,0.975916955017301,0.9908035181386191,0.975916955017301,165.90588235294118,0.005774656538563912,165.90588235294118,165.90588235294118,0.0,0.0,0.0
