Metric,Comparison_Type,Group1,Group2,k,n,Mean1,Mean2,Grand_Mean,Group1_Deviation,Group2_Deviation,Mean_Diff,Group1_SSA,Group2_SSA,MSE_pooled,SE,Q_stat,Q_crit,p_value,Cohens_d,Significant,Lower_CI,Upper_CI
difficulty_4,Pairwise,ALL,ALL,4,[25 30 95 20],2.8,2.566666666666667,2.5352941176470587,0.2647058823529411,0.031372549019608176,0.23333333333333295,1.7517301038062278,0.02952710495963154,0.9200274783343898,0.259747342131776,1.275682896782386,3.670230795938713,0.8037543985316559,0.24326318356449028,False,-0.44077467950141247,0.9074413461680784
difficulty_4,Pairwise,ALL,ALL,4,[25 30 95 20],2.8,2.4210526315789473,2.5352941176470587,0.2647058823529411,-0.11424148606811135,0.3789473684210525,1.7517301038062278,1.2398561282097957,0.9200274783343898,0.2156051922039832,3.0602303740930026,3.670230795938713,0.1377220450014024,0.39507404248067646,False,-0.18060094680192063,0.9384956836440256
difficulty_4,Pairwise,ALL,ALL,4,[25 30 95 20],2.8,2.7,2.5352941176470587,0.2647058823529411,0.16470588235294148,0.09999999999999964,1.7517301038062278,0.54256055363322,0.9200274783343898,0.28775418858827245,0.4945279698819166,3.670230795938713,0.9852727670152359,0.10425565009906707,False,-0.6467926434284963,0.8467926434284956
difficulty_4,Pairwise,ALL,ALL,4,[25 30 95 20],2.566666666666667,2.4210526315789473,2.5352941176470587,0.031372549019608176,-0.11424148606811135,0.14561403508771953,0.02952710495963154,1.2398561282097957,0.9200274783343898,0.20087827752917253,1.2001702193040729,3.670230795938713,0.8310454050661835,0.15181085891618618,False,-0.3757143272181339,0.666942397393573
difficulty_4,Pairwise,ALL,ALL,4,[25 30 95 20],2.566666666666667,2.7,2.5352941176470587,0.031372549019608176,0.16470588235294148,-0.1333333333333333,0.02952710495963154,0.54256055363322,0.9200274783343898,0.27689159706980243,0.6950376673271161,3.670230795938713,0.9609056558633229,-0.13900753346542322,False,-0.8519348895204573,0.5852682228537907
difficulty_4,Pairwise,ALL,ALL,4,[25 30 95 20],2.4210526315789473,2.7,2.5352941176470587,-0.11424148606811135,0.16470588235294148,-0.27894736842105283,1.2398561282097957,0.54256055363322,0.9200274783343898,0.2359785449753016,2.2052396462690544,3.670230795938713,0.4047538248677377,-0.2908183923816094,False,-0.8913695272750695,0.3334747904329638
difficulty_4,vs_Pooled,ALL,Pooled,4,[25 30 95 20],2.8,2.5352941176470587,2.5352941176470587,0.2647058823529411,0.0,0.2647058823529411,1.7517301038062278,0.0,0.9200274783343898,0.19183612572551498,1.379854192487657,1.9743577636521854,0.16948723820929557,0.2759708384975314,False,-0.11404726182218611,0.6434590265280684
difficulty_4,vs_Pooled,ALL,Pooled,4,[25 30 95 20],2.566666666666667,2.5352941176470587,2.5352941176470587,0.031372549019608176,0.0,0.031372549019608176,0.02952710495963154,0.0,0.9200274783343898,0.1751216223404361,0.1791472040992174,1.9743577636521854,0.8580405895911902,0.03270765493304111,False,-0.3143801856315978,0.37712528367081416
difficulty_4,vs_Pooled,ALL,Pooled,4,[25 30 95 20],2.4210526315789473,2.5352941176470587,2.5352941176470587,-0.11424148606811135,0.0,-0.11424148606811135,1.2398561282097957,0.0,0.9200274783343898,0.09840985607113216,-1.1608744350315465,1.9743577636521854,0.24735963914333325,-0.11910320398314506,False,-0.30853774942204526,0.08005477728582258
difficulty_4,vs_Pooled,ALL,Pooled,4,[25 30 95 20],2.7,2.5352941176470587,2.5352941176470587,0.16470588235294148,0.0,0.16470588235294148,0.54256055363322,0.0,0.9200274783343898,0.21447930883122385,0.7679336680562989,1.9743577636521854,0.44361759715043503,0.17171518839846434,False,-0.25875300618074004,0.588164770886623
